id,x,y
1,40.775036,73.912034
2,40.770258,73.917843
3,40.766779,73.921479
4,40.76182,73.925508
5,40.756804,73.929575
6,40.752882,73.932755
7,40.76266,73.967258
8,40.764811,73.973347
9,40.764664,73.980658
10,40.759901,73.984139
11,40.754672,73.986754
12,40.749567,73.98795
13,40.745494,73.988691
14,40.741303,73.989344
15,40.735736,73.990568
16,40.730328,73.992629
17,40.724329,73.997702
18,40.719527,74.001775
19,40.718383,74.00046
20,40.713282,74.006978
21,40.710668,74.011029
22,40.70722,74.013342
23,40.703087,74.012994
24,40.6941,73.991777
25,40.69218,73.985942
26,40.690635,73.981824
27,40.683666,73.97881
28,40.677316,73.98311
29,40.670847,73.988302
30,40.665414,73.992872
31,40.660397,73.998091
32,40.655144,74.003549
33,40.648939,74.010006
34,40.645069,74.014034
35,40.641362,74.017881
36,40.634967,74.023377
37,40.629742,74.02551
38,40.622687,74.028398
39,40.616622,74.030876
40,40.68446,73.97689
41,40.67705,73.972367
42,40.661614,73.962246
43,40.655292,73.961495
44,40.650527,73.962982
45,40.644031,73.964492
46,40.640927,73.963891
47,40.635082,73.962793
48,40.62927,73.961639
49,40.625039,73.960803
50,40.617618,73.959399
51,40.60867,73.957734
52,40.5993,73.955929
53,40.595246,73.955161
54,40.586896,73.954155
55,40.577621,73.961376
56,40.576312,73.968501
57,40.576127,73.975939
58,40.577422,73.981233
59,40.646292,73.994324
60,40.640914,73.994304
61,40.63626,73.994791
62,40.631435,73.995476
63,40.626472,73.996895
64,40.619589,73.998864
65,40.613501,74.00061
66,40.607954,74.001736
67,40.604556,73.998168
68,40.601875,73.993728
69,40.597704,73.986829
70,40.588841,73.983765
71,40.635064,74.011719
72,40.631386,74.005351
73,40.624842,73.996353
74,40.620671,73.990414
75,40.61741,73.985026
76,40.611815,73.981848
77,40.603923,73.980353
78,40.597473,73.979137
79,40.592721,73.97823
80,40.700492,73.828294
81,40.697418,73.836345
82,40.695178,73.84433
83,40.693879,73.851576
84,40.692435,73.86001
85,40.691324,73.867139
86,40.689941,73.87255
87,40.683194,73.873785
88,40.68141,73.880039
89,40.679947,73.884639
90,40.678024,73.891688
91,40.676992,73.898654
92,40.679498,73.904512
93,40.682893,73.910456
94,40.68637,73.916559
95,40.68963,73.92227
96,40.693342,73.928814
97,40.697207,73.935657
98,40.70026,73.941126
99,40.703869,73.947408
100,40.70687,73.953431
101,40.708359,73.957757
102,40.718315,73.987437
103,40.72028,73.993915
104,40.718092,73.999892
105,40.713243,74.003401
106,40.710374,74.007582
107,40.706476,74.011056
108,40.711396,73.889601
109,40.706186,73.895877
110,40.704423,73.903077
111,40.702762,73.90774
112,40.69943,73.912385
113,40.698664,73.919711
114,40.697857,73.927397
115,40.739777,74.002578
116,40.737335,73.996786
117,40.734789,73.99073
118,40.732849,73.986122
119,40.730953,73.981628
120,40.717304,73.956872
121,40.714063,73.950275
122,40.714565,73.944053
123,40.711926,73.94067
124,40.707739,73.93985
125,40.706152,73.933147
126,40.706607,73.922913
127,40.703811,73.918425
128,40.699814,73.911586
129,40.695602,73.904084
130,40.688764,73.904046
131,40.682829,73.905249
132,40.678856,73.90324
133,40.675345,73.903097
134,40.669367,73.901975
135,40.664038,73.900571
136,40.658733,73.899232
137,40.650573,73.899485
138,40.646654,73.90185
139,40.680596,73.955827
141,40.674772,73.957624
142,40.670343,73.959245
143,40.868072,73.919899
144,40.865491,73.927271
145,40.859022,73.93418
146,40.851695,73.937969
147,40.847391,73.939704
148,40.840719,73.939561
149,40.836013,73.939892
150,40.830518,73.941514
151,40.824783,73.944216
151,40.824783,73.944216
152,40.817894,73.947649
153,40.811109,73.952343
154,40.805085,73.954882
155,40.800603,73.958161
156,40.796092,73.961454
157,40.791642,73.964696
158,40.785868,73.968916
159,40.781433,73.972143
160,40.775594,73.97641
161,40.768296,73.981736
162,40.762456,73.985984
163,40.757308,73.989735
164,40.752287,73.993391
165,40.745906,73.998041
166,40.740893,74.00169
167,40.732338,74.000495
167,40.732338,74.000495
168,40.726227,74.003739
169,40.720824,74.005229
170,40.714111,74.008585
171,40.712582,74.009781
172,40.710197,74.007691
173,40.699337,73.990531
174,40.692338,73.987342
175,40.688484,73.985001
176,40.686113,73.973946
177,40.683263,73.965838
178,40.68138,73.956848
179,40.680438,73.950426
180,40.679921,73.940858
181,40.679364,73.930729
182,40.678822,73.920786
183,40.67834,73.911946
184,40.678334,73.905316
185,40.674542,73.896548
186,40.67271,73.890358
187,40.67413,73.88075
188,40.675377,73.872106
189,40.677044,73.86505
190,40.679371,73.858992
191,40.679843,73.85147
192,40.680429,73.843853
193,40.681711,73.837683
194,40.684331,73.832163
195,40.685951,73.825798
196,40.672097,73.835919
197,40.668234,73.834058
198,40.660476,73.830301
199,40.608382,73.815925
199,40.608382,73.815925
200,40.588034,73.813641
201,40.585307,73.820558
202,40.583209,73.827559
203,40.580903,73.835592
204,40.590927,73.796924
205,40.592374,73.788522
206,40.592943,73.776013
207,40.595398,73.768175
208,40.600066,73.761353
209,40.603995,73.755405
210,40.874811,73.878855
211,40.873244,73.887138
212,40.866978,73.893509
213,40.861296,73.897749
214,40.856093,73.900741
215,40.85041,73.905227
216,40.8459,73.910136
217,40.839306,73.9134
218,40.833771,73.91844
219,40.827905,73.925651
220,40.830135,73.938209
221,40.754203,73.942836
222,40.759145,73.95326
223,40.764629,73.966113
224,40.763972,73.97745
225,40.758663,73.981329
226,40.754222,73.984569
227,40.749719,73.987823
228,40.742878,73.992821
229,40.738228,73.996209
230,40.725297,73.996204
231,40.718267,73.993753
232,40.723402,73.989938
233,40.718611,73.988114
234,40.713715,73.990173
235,40.701397,73.986751
236,40.686145,73.990862
237,40.680303,73.995048
238,40.67358,73.995959
239,40.670272,73.989779
240,40.666271,73.980305
241,40.660365,73.979493
242,40.650782,73.975776
243,40.644041,73.979678
244,40.636119,73.978172
245,40.629755,73.976971
246,40.625322,73.976127
247,40.620769,73.975264
248,40.61514,73.974197
249,40.608944,73.973022
250,40.603217,73.972361
251,40.596063,73.973357
252,40.58962,73.97425
253,40.581011,73.974574
254,40.712646,73.783817
255,40.71047,73.793604
256,40.707564,73.803326
257,40.70546,73.810708
258,40.709179,73.820574
259,40.714441,73.831008
260,40.718331,73.837324
261,40.721691,73.844521
262,40.726523,73.852719
263,40.729846,73.861604
264,40.733106,73.869229
265,40.737015,73.877223
266,40.742454,73.882017
267,40.746644,73.891338
